Facility_Type,Count
(gas station),1
1023,1
1023 CHILDERN'S SERVICES FACILITY,7
1023 CHILDREN'S SERVICES FACILITY,1
1023-CHILDREN'S SERVICES FACILITY,1
1475 LIQUOR,1
15 monts to 5 years old,1
1584-DAY CARE ABOVE 2 YEARS,1
A-Not-For-Profit Chef Training Program,1
ADULT DAY SERVICE,3
ADULT DAYCARE,3
AFTER SCHOOL PROGRAM,4
ALTERNATIVE SCHOOL,1
ARCHDIOCESE,1
ASSISTED LIVING,2
Airport Lounge,2
Assisted Living,3
Assisted Living Senior Care,4
BAKERY/DELI,3
BANQUET,18
BANQUET HALL,49
BANQUET HALL/CATERING,2
BANQUET ROOM,2
BOOK STORE,1
BOWLING LANES/BANQUETS,1
BREWERY,2
Bakery,705
Banquet,9
Banquet Hall,5
Banquet rooms,1
CAFE/STORE,3
CAFETERIA,7
CANDY SHOP,2
CANDY STORE,2
CANDY/GELATO,4
CAT/LIQUOR,1
CATERING/CAFE,3
CHARITY AID KITCHEN,1
CHARTER,4
CHARTER SCHOOL,35
CHARTER SCHOOL CAFETERIA,1
CHILDERN ACTIVITY FACILITY,1
CHILDERN'S SERVICE FACILITY,1
CHILDERN'S SERVICES  FACILITY,2
CHILDRENS SERVICES FACILITY,4
CHURCH,7
CHURCH (SPECIAL EVENTS),2
CHURCH KITCHEN,8
CHURCH/AFTER SCHOOL PROGRAM,1
CHURCH/SPECIAL EVENT,1
CHURCH/SPECIAL EVENTS,3
COFFEE  SHOP,1
COFFEE AND/OR DRINKS,2
COFFEE CART,4
COFFEE KIOSK,4
COFFEE SHOP,3
COFFEE/TEA,1
COLD STORAGE FACILITY,1
COLD/FROZEN FOOD STORAGE,1
COLLEGE,2
COMMISARY,3
COMMISSARY,9
CONVENIENCE,2
CONVENIENCE STORE,10
CONVENIENT STORE,1
COOKING SCHOOL,12
CULINARY ARTS SCHOOL,1
CULINARY CLASS ROOMS,1
CULINARY KITCHEN,1
CULINARY SCHOOL,5
CUSTOM POULTRY SLAUGHTER,2
Candy,2
Catering,336
Children's Services Facility,1253
Church,3
Coffee shop,3
DAY CARE,2
DAY CARE 1023,1
DAY CARE 2-14,2
DAYCARE,17
DAYCARE 2 YRS TO 12 YRS,5
DAYCARE 6 WKS-5YRS,2
DELI/BAKERY,1
DINING HALL,5
DOLLAR & GROCERY STORE,1
DOLLAR STORE,1
DOLLAR TREE,1
DRUG STORE,2
Daycare (2 - 6 Years),570
Daycare (2 Years),3
Daycare (Under 2 Years),55
Daycare Above and Under 2 Years,643
Daycare Combo 1586,116
Daycare Night,2
Deli,1
ENTERTAINMENT VENUE,1
EVENT CENTER,5
EVENT SPACE,4
EVENT VENU,1
FARMER'S MARKET,1
FITNESS CENTER,2
FLEA MARKET,1
FOOD BOOTH,2
FOOD HALL,1
FOOD PANTRY,2
FOOD PANTRY/CHURCH,1
FRENCH MARKET SPACE,1
FROZEN DESSERT PUSHCARTS,3
GAS STATION,30
GAS STATION/FOOD,1
GAS STATION/GROCERY,7
GAS STATION/MINI MART,2
GAS STATION/RESTAURANT,1
GAS STATION/STORE,1
GAS/MINI MART,1
GENERAL STORE,1
GOLF COURSE,1
GOLF COURSE CONNCESSION STAND,1
GROCERY AND BUTCHER,2
GROCERY STORE /PHARMACY,1
GROCERY STORE/BAKERY,1
GROCERY STORE/COOKING SCHOOL,2
GROCERY STORE/GAS STATION,11
GROCERY STORE/RESTAURANT,2
GROCERY STORE/TAQUERIA,2
GROCERY/BAKERY,2
GROCERY/CAFE,3
GROCERY/DRUG STORE,4
GROCERY/GAS STATION,2
