year,month,day,dep_time,sched_dep_time,dep_delay,arr_time,sched_arr_time,arr_delay,carrier,flight,tailnum,origin,dest,ir_time,distance,hour,minute,time_hour
2013,4,23,526,530,-4,759,816,-17,UA,1714,N27722,LGA,IAH,191,1416,5,30,"2013-04-23 05:00:00"
2013,7,15,1300,1300,0,1416,1417,-1,EV,6054,N14186,EWR,IAD,44,212,13,0,"2013-07-15 13:00:00"
2013,1,11,2018,2030,-12,2206,2206,0,FL,354,N927AT,LGA,CAK,65,397,20,30,"2013-01-11 20:00:00"
2013,5,24,1939,1929,10,2259,2310,-11,UA,1218,N33203,EWR,SFO,345,2565,19,29,"2013-05-24 19:00:00"
2013,2,12,1926,1936,-10,2043,2056,-13,EV,5693,N830AS,LGA,IAD,53,229,19,36,"2013-02-12 19:00:00"
2013,9,8,1857,1900,-3,2200,2232,-32,UA,1668,N38458,EWR,SFO,323,2565,19,0,"2013-09-08 19:00:00"
2013,2,1,2136,2140,-4,2259,2306,-7,B6,104,N228JB,JFK,BUF,59,301,21,40,"2013-02-01 21:00:00"
2013,2,24,933,920,13,1239,1240,-1,AA,1589,N555AA,EWR,DFW,211,1372,9,20,"2013-02-24 09:00:00"
2013,4,16,720,725,-5,952,1018,-26,UA,1592,N38424,EWR,MCO,131,937,7,25,"2013-04-16 07:00:00"
2013,11,8,638,640,-2,750,805,-15,WN,1121,N7724A,LGA,MKE,114,738,6,40,"2013-11-08 06:00:00"
2013,10,26,1526,1530,-4,1818,1840,-22,WN,3049,N453WN,EWR,HOU,210,1411,15,30,"2013-10-26 15:00:00"
2013,12,2,1406,1247,79,1516,1415,61,EV,4682,N18114,EWR,PIT,53,319,12,47,"2013-12-02 12:00:00"
2013,4,10,628,630,-2,759,820,-21,WN,112,N8317M,LGA,STL,131,888,6,30,"2013-04-10 06:00:00"
2013,7,28,911,907,4,1149,1200,-11,UA,653,N570UA,EWR,LAX,312,2454,9,7,"2013-07-28 09:00:00"
2013,11,21,1509,1455,14,1954,1949,5,B6,703,N579JB,JFK,SJU,188,1598,14,55,"2013-11-21 14:00:00"
2013,5,11,2004,1920,44,2111,2050,21,WN,1352,N908WN,LGA,MDW,112,725,19,20,"2013-05-11 19:00:00"
2013,11,27,1522,1529,-7,1818,1825,-7,B6,573,N595JB,EWR,TPA,161,997,15,29,"2013-11-27 15:00:00"
2013,8,28,835,835,0,1056,1120,-24,B6,1783,N643JB,JFK,MCO,118,944,8,35,"2013-08-28 08:00:00"
2013,1,6,1045,1050,-5,1406,1358,8,B6,373,N506JB,LGA,FLL,178,1076,10,50,"2013-01-06 10:00:00"
2013,4,24,509,515,-6,802,802,0,UA,1545,N33203,EWR,IAH,212,1400,5,15,"2013-04-24 05:00:00"
2013,10,31,1752,1759,-7,2030,2053,-23,B6,299,N592JB,LGA,MCO,131,950,17,59,"2013-10-31 17:00:00"
2013,9,29,1711,1720,-9,1932,1920,12,MQ,3556,N8EGMQ,LGA,DTW,87,502,17,20,"2013-09-29 17:00:00"
2013,12,3,1731,1730,1,2043,2055,-12,AA,2351,N368AA,JFK,MIA,162,1089,17,30,"2013-12-03 17:00:00"
2013,11,11,1706,1710,-4,1855,1911,-16,B6,1119,N283JB,JFK,CLT,90,541,17,10,"2013-11-11 17:00:00"
2013,10,19,659,659,0,929,912,17,EV,4122,N18102,EWR,SDF,128,642,6,59,"2013-10-19 06:00:00"
2013,9,22,NA,1020,NA,NA,1211,NA,US,565,NA,EWR,CLT,NA,529,10,20,"2013-09-22 10:00:00"
2013,4,13,1622,1500,82,1739,1612,87,US,2132,N953UW,LGA,BOS,30,184,15,0,"2013-04-13 15:00:00"
2013,5,29,907,915,-8,1029,1105,-36,AA,313,N592AA,LGA,ORD,108,733,9,15,"2013-05-29 09:00:00"
2013,3,27,931,930,1,1236,1255,-19,WN,739,N933WN,EWR,AUS,216,1504,9,30,"2013-03-27 09:00:00"
2013,12,28,928,930,-2,1151,1151,0,EV,4087,N14573,EWR,IND,103,645,9,30,"2013-12-28 09:00:00"
2013,1,2,2218,2225,-7,2331,2340,-9,DL,942,N378NW,LGA,PWM,46,269,22,25,"2013-01-02 22:00:00"
2013,10,25,1039,1029,10,1237,1239,-2,US,604,N657AW,EWR,PHX,280,2133,10,29,"2013-10-25 10:00:00"
2013,5,14,1754,1755,-1,1935,1930,5,MQ,4601,N520MQ,LGA,RDU,63,431,17,55,"2013-05-14 17:00:00"
2013,4,20,1802,1800,2,2107,2108,-1,UA,1637,N37263,EWR,TPA,163,997,18,0,"2013-04-20 18:00:00"
2013,7,24,1155,1200,-5,1329,1314,15,US,2173,N747UW,LGA,DCA,44,214,12,0,"2013-07-24 12:00:00"
2013,8,17,1159,1200,-1,1442,1454,-12,DL,863,N197DN,JFK,LAX,319,2475,12,0,"2013-08-17 12:00:00"
2013,7,27,1656,1700,-4,1921,1937,-16,DL,1499,N974DL,LGA,ATL,113,762,17,0,"2013-07-27 17:00:00"
2013,9,9,NA,829,NA,NA,1001,NA,9E,3579,NA,LGA,IAD,NA,229,8,29,"2013-09-09 08:00:00"
2013,12,21,1857,1805,52,2037,1955,42,WN,195,N946WN,LGA,STL,146,888,18,5,"2013-12-21 18:00:00"
2013,2,21,1959,1925,34,2134,2105,29,WN,2714,N736SA,LGA,MKE,125,738,19,25,"2013-02-21 19:00:00"
2013,11,12,608,615,-7,802,818,-16,US,1989,N179UW,EWR,CLT,94,529,6,15,"2013-11-12 06:00:00"
2013,9,28,2018,2022,-4,2218,2246,-28,B6,135,N768JB,JFK,PHX,280,2153,20,22,"2013-09-28 20:00:00"
2013,5,29,2237,2159,38,1,2326,35,UA,994,N477UA,EWR,BOS,52,200,21,59,"2013-05-29 21:00:00"
2013,9,5,637,645,-8,746,809,-23,EV,4522,N14543,EWR,BNA,108,748,6,45,"2013-09-05 06:00:00"
2013,8,28,1227,1229,-2,1408,1421,-13,EV,4640,N12563,EWR,DAY,79,533,12,29,"2013-08-28 12:00:00"
2013,11,14,1926,1930,-4,2149,2136,13,EV,4370,N11113,EWR,CHS,94,628,19,30,"2013-11-14 19:00:00"
2013,9,17,1356,1400,-4,1632,1630,2,DL,2247,N900PC,LGA,ATL,109,762,14,0,"2013-09-17 14:00:00"
2013,12,29,2031,1930,61,2356,2235,81,AA,1691,N473AA,EWR,DFW,233,1372,19,30,"2013-12-29 19:00:00"
2013,12,14,1445,1450,-5,1717,1649,28,US,1995,N568UW,LGA,CLT,107,544,14,50,"2013-12-14 14:00:00"
2013,8,12,1444,1453,-9,1633,1652,-19,EV,4111,N13132,EWR,CHS,90,628,14,53,"2013-08-12 14:00:00"
2013,2,25,1742,1730,12,2101,2046,15,B6,359,N593JB,JFK,BUR,354,2465,17,30,"2013-02-25 17:00:00"
2013,10,21,653,700,-7,1002,1001,1,DL,1879,N358NB,LGA,FLL,158,1076,7,0,"2013-10-21 07:00:00"
2013,6,30,NA,2159,NA,NA,2338,NA,UA,684,NA,EWR,ORD,NA,719,21,59,"2013-06-30 21:00:00"
2013,8,9,1530,1459,31,1851,1746,65,B6,581,N368JB,JFK,HOU,187,1428,14,59,"2013-08-09 14:00:00"
2013,3,7,2115,2040,35,2324,2148,96,B6,1178,N304JB,EWR,BOS,52,200,20,40,"2013-03-07 20:00:00"
2013,11,24,1243,1250,-7,1349,1350,-1,AA,178,N3HAAA,JFK,BOS,42,187,12,50,"2013-11-24 12:00:00"
2013,4,12,832,830,2,1006,1015,-9,AA,309,N4YAAA,LGA,ORD,112,733,8,30,"2013-04-12 08:00:00"
2013,6,19,1453,1455,-2,1626,1612,14,EV,4175,N11551,EWR,IAD,50,212,14,55,"2013-06-19 14:00:00"
2013,6,23,812,815,-3,1049,1110,-21,DL,1167,N306DQ,JFK,TPA,139,1005,8,15,"2013-06-23 08:00:00"
2013,4,7,2028,2030,-2,2202,2150,12,WN,184,N231WN,EWR,MDW,115,711,20,30,"2013-04-07 20:00:00"
2013,12,17,923,920,3,1250,1245,5,VX,407,N636VA,JFK,LAX,337,2475,9,20,"2013-12-17 09:00:00"
2013,3,19,1929,1922,7,2218,2220,-2,UA,1057,N15710,EWR,PBI,149,1023,19,22,"2013-03-19 19:00:00"
2013,5,2,2020,1855,85,2233,2146,47,B6,195,N708JB,JFK,LAS,293,2248,18,55,"2013-05-02 18:00:00"
2013,11,15,630,630,0,751,805,-14,AA,303,N503AA,LGA,ORD,122,733,6,30,"2013-11-15 06:00:00"
2013,10,21,1455,1455,0,1711,1723,-12,9E,3326,N904XJ,JFK,IND,116,665,14,55,"2013-10-21 14:00:00"
2013,5,31,627,630,-3,740,800,-20,B6,905,N274JB,JFK,ORD,117,740,6,30,"2013-05-31 06:00:00"
2013,7,26,1842,1800,42,2014,1930,44,WN,625,N940WN,EWR,MDW,108,711,18,0,"2013-07-26 18:00:00"
2013,10,8,852,900,-8,1003,1019,-16,US,2140,N944UW,LGA,BOS,34,184,9,0,"2013-10-08 09:00:00"
2013,7,25,1545,1535,10,1741,1725,16,MQ,3416,N711MQ,LGA,RDU,74,431,15,35,"2013-07-25 15:00:00"
2013,2,5,1454,1459,-5,1619,1624,-5,B6,12,N203JB,JFK,SYR,46,209,14,59,"2013-02-05 14:00:00"
2013,2,17,2120,2040,40,2219,2204,15,UA,1635,N37255,EWR,BOS,39,200,20,40,"2013-02-17 20:00:00"
2013,4,26,1859,1800,59,2244,2136,68,UA,1127,N17233,EWR,SFO,338,2565,18,0,"2013-04-26 18:00:00"
2013,5,2,949,955,-6,1156,1210,-14,9E,4060,N8721B,LGA,DAY,80,549,9,55,"2013-05-02 09:00:00"
2013,2,27,1912,1705,127,2011,1830,101,MQ,4410,N734MQ,JFK,DCA,44,213,17,5,"2013-02-27 17:00:00"
